item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,Accord.NET,http://accord-framework.net/,https://github.com/accord-net/framework,accord-net.svg,https://www.crunchbase.com/organization/accord-net-framework-project,,Machine Learning,Framework,,,,,,,
,LightGBM,https://github.com/Microsoft/LightGBM,https://github.com/Microsoft/LightGBM,lightgbm.svg,https://www.crunchbase.com/organization/microsoft,,Machine Learning,Framework,,,,,,,
,Mahout,https://mahout.apache.org/,https://github.com/apache/mahout,mahout.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheMahout,Machine Learning,Framework,,,,,,,
,ML.net,https://dotnet.microsoft.com/en-us/apps/machinelearning-ai/ml-dotnet,https://github.com/dotnet/machinelearning,ml-net.svg,https://www.crunchbase.com/organization/microsoft,,Machine Learning,Framework,,,,,,,
,Ray,https://bair.berkeley.edu/blog/2018/01/09/ray/,https://github.com/ray-project/ray,ray.svg,https://www.crunchbase.com/organization/university-of-california-berkeley,,Machine Learning,Framework,,,,,,,
,ZenML,https://zenml.io/,https://github.com/zenml-io/zenml,zenml.svg,https://www.crunchbase.com/organization/maiot-c7f4,https://twitter.com/zenml_io,Machine Learning,Framework,,,,,,,
,Alink,https://github.com/alibaba/Alink,https://github.com/alibaba/Alink,alink.svg,https://www.crunchbase.com/organization/alibaba,,Machine Learning,Platform,,,,,,,
,Angel-ML,https://angelml.ai/,https://github.com/Angel-ML/angel,angel.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Machine Learning,Platform,graduated,,,,,,
,Apache SystemML,https://systemds.apache.org,https://github.com/apache/systemds,apache-system-ml.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheSystemML,Machine Learning,Platform,,,,,,,
,AX,https://ax.dev/,https://github.com/facebook/Ax,ax.svg,https://www.crunchbase.com/organization/facebook,,Machine Learning,Platform,,,,,,,
,Cortex,https://www.cortex.dev/,https://github.com/cortexlabs/cortex,cortex.svg,https://www.crunchbase.com/organization/cortex-dev,,Machine Learning,Platform,,,,,,,
,ForestFlow,https://forestflow.ai,https://github.com/ForestFlow/ForestFlow,forestflow.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Machine Learning,Platform,incubating,,,,,,
,H2o.ai,https://www.h2o.ai/,https://github.com/h2oai/h2o-3,h2o-ai.svg,https://www.crunchbase.com/organization/h2o-2,,Machine Learning,Platform,,,,,,,
,Kubeflow,https://www.kubeflow.org/,https://github.com/kubeflow/kubeflow,kubeflow.svg,https://www.crunchbase.com/organization/google,https://twitter.com/kubeflow,Machine Learning,Platform,,,,,,,
,Metaflow,https://metaflow.org/,https://github.com/Netflix/metaflow,metaflow.svg,https://www.crunchbase.com/organization/netflix,https://twitter.com/MetaflowOSS,Machine Learning,Platform,,,,,,,
,MLFlow,https://mlflow.org/,https://github.com/mlflow/mlflow,mlflow.svg,https://www.crunchbase.com/organization/databricks,https://twitter.com/MLflow,Machine Learning,Platform,,,,,,,
,PredictionIO,https://predictionio.apache.org/,https://github.com/apache/predictionio,apache-predictionio.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApachePIO,Machine Learning,Platform,,,,,,,
,Seldon,https://www.seldon.io/,https://github.com/SeldonIO/seldon-core,seldon.svg,https://www.crunchbase.com/organization/seldon,,Machine Learning,Platform,,,,,,,
,Vowpal Wabbit,https://github.com/VowpalWabbit/vowpal_wabbit/wiki,https://github.com/VowpalWabbit/vowpal_wabbit,vowpal-wabbit.svg,https://www.crunchbase.com/organization/microsoft,,Machine Learning,Platform,,,,,,,
,1chipML,https://github.com/1chipML/,https://github.com/1chipML/1chipML,1chipML.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Machine Learning,Library,sandbox,,,,,,
,AutoGluon,https://auto.gluon.ai/,https://github.com/awslabs/autogluon,autogluon.svg,https://www.crunchbase.com/organization/amazon-web-services,https://twitter.com/autogluon,Machine Learning,Library,,,,,,,
,CatBoost,https://catboost.ai,https://github.com/catboost/catboost,catboost.svg,https://www.crunchbase.com/organization/yandex,https://twitter.com/catboostml,Machine Learning,Library,,,,,,,
,Flashlight,https://github.com/flashlight/flashlight,https://github.com/flashlight/flashlight,flashlight.svg,https://www.crunchbase.com/organization/facebook,https://twitter.com/MetaAI,Machine Learning,Library,,,,,,,
,MediaPipe,https://mediapipe.dev/,https://github.com/google/mediapipe,mediapipe.svg,https://www.crunchbase.com/organization/google,,Machine Learning,Library,,,,,,,
,mlpack,https://www.mlpack.org/,https://github.com/mlpack/mlpack,mlpack.svg,https://www.crunchbase.com/organization/georgia-institute-of-technology,,Machine Learning,Library,,,,,,,
,Nilearn,https://nilearn.github.io/,https://github.com/nilearn/nilearn,nilearn.svg,https://www.crunchbase.com/organization/inria,,Machine Learning,Library,,,,,,,
,OpenCV,https://opencv.org,https://github.com/opencv/opencv,open-cv.svg,https://www.crunchbase.com/organization/opencv,,Machine Learning,Library,,,,,,,
,OpenNN,https://www.opennn.net,https://github.com/Artelnics/OpenNN,opennn.svg,https://www.crunchbase.com/organization/artelnics,,Machine Learning,Library,,,,,,,
,PyCaret,https://pycaret.org/,https://github.com/pycaret/pycaret,pycaret.svg,https://www.crunchbase.com/organization/pycaret,,Machine Learning,Library,,,,,,,
