name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
Arvados,,,yes,Active (2023-04-07),,Existing Workflow systems,https://arvados.org/,https://github.com/arvados/arvados,https://arvados.org/2022/10/05/workflow-data-management/,"Community, Academia",https://arvados.org/community/,"Arvados is an open source platform for
managing, processing, and sharing genomic and other large scientific
and biomedical data",scientific workflow,"genomic, biomedical",yes,
Apache Taverna,,,no,Retired (2020-02-20),,Existing Workflow systems,http://www.taverna.org.uk/,,https://doi.org/10.1093/nar/gkl320,"Non-Profit, Academia",,Taverna is a domain-independent suite of tools used to design and execute data-driven workflows.,scientific workflow,,,
Galaxy,,,yes,Active (2023-04-07),,Existing Workflow systems,https://galaxyproject.org/,https://github.com/galaxyproject/galaxy,https://doi.org/10.1093/nar/gkac247,"Community, Academia",,"Galaxy is an open-source platform for FAIR data analysis that enables users to: 1) Use tools from various domains (that can be plugged into workflows) through its graphical web interface. 2)Run code in interactive environments (RStudio, Jupyter...) along with other tools or workflows. 3)Manage data by sharing and publishing results, workflows, and visualizations. 4)Ensure reproducibility by capturing the necessary information to repeat and understand data analyses.",scientific workflow,bioinformatic workflow,yes,
SHIWA,,,no,Retired (2012),Superseeded by ER-flow,Existing Workflow systems,https://www.shiwa-workflow.eu/,,https://www.doi.org/10.3233/978-1-61499-054-3-109,,,,scientific workflow,,,
ER-flow,,,no,Retired (2014),,,https://tu-dresden.de/zih/forschung/projekte/er_flow,,https://doi.org/10.1109/CCGrid.2014.98,Academia,https://tu-dresden.de/zih,,scientific workflow,,,
Apache Oozie,,,no,Active (2023-04-07),,Existing Workflow systems,https://oozie.apache.org/,https://github.com/apache/oozie,,Non-Profit,,Apache Oozie Workflow Scheduler for Hadoop,Workflow scheduler Hadoop,,yes,
DNANexus,,,-,Active (2023-04-07),,Existing Workflow systems,https://documentation.dnanexus.com/,,,Enterprise,https://www.dnanexus.com/,cloud-based data analysis and management platform for DNA sequence data,,Genomic,proprietary,
BioDT,,BioDatomics,no,Retired,,Existing Workflow systems,https://www.biodatomics.com,,,Enterprise,https://www.biodatomics.com/,BioDatomics provides powerful yet intuitive bioinformatics tools that help genomic and biomedical researchers glean insights from their data more quickly,,Bionformatics,proprietary,
Agave,,,no,not found,404,Existing Workflow systems,http://agaveapi.co/live-docs/,,,,,,,,,
Cyverse,DiscoveryEnvironment,,maybe,Active (2023-04-07),,Existing Workflow systems,https://cyverse.org/discovery-environment,,https://par.nsf.gov/biblio/10108389,"Academia,Non-Profit",https://cyverse.org/about,"An Open Science Workspace for Collaborative Data-driven Discovery - A powerful platform with a simple web interface for managing, sharing, 
running, and visualizing your data, analyses, and results -- where 
data-driven discoveries are made.",hosted scietifix workflow managment,science,yes,
Wings,,Wings Workflows,maybe,Active (2023-04-07),,Existing Workflow systems,https://www.wings-workflows.org,https://github.com/knowledgecaptureanddiscovery/wings,https://doi.org/10.1109/MIS.2010.9,Academia,,"WINGS is a semantic workflow system that assists scientists with the design of computational experiments. A unique feature of WINGS is that its workflow representations incorporate semantic constraints about datasets and workflow components, and are used to create and validate workflows and to generate metadata for new data products. WINGS submits workflows to execution frameworks such as Pegasus and OODT to run workflows at large scale in distributed resources",compuational experiments,science,yes,
Knime,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://www.knime.com/,https://github.com/knime/knime-core,,Academia,https://www.knime.com/open-for-innovation,"KNIME Analytics Platform is an open source software with an intuitive, visual interface that lets you build analyses of any complexity level. Access, blend, analyze, and visualize data, without any coding, or integrate your favorite tools and libraries as needed.",,data anaylsiis,yes,
"make, rake, drake, ant, scons & many others",,,,Active,,Existing Workflow systems,,https://github.com/Factual/drake,,,,,,,,
Snakemake,,,yes,Active (2023-04-07),,Existing Workflow systems,https://snakemake.github.io/,https://github.com/snakemake/snakemake,https://doi.org/10.1093/bioinformatics/bty350,"Non-Profit,Academia",,A framework for reproducible data anylsis,"data anaylsis, workflow managment",data anaylsis,yes,
Bpipe,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://docs.bpipe.org/,https://github.com/ssadedin/bpipe/,https://doi.org/10.1093/bioinformatics/bts167,Academia,,a tool for running and managing bioinformatics pipelines,,bionfirmaticx,yes,
CGAT-Ruffus,Ruffus,,no,Last Release (2020-04-24) - replaced by cgat core,,Existing Workflow systems,https://cgat-core.readthedocs.io/en/latest/,https://github.com/cgat-developers/ruffus,https://doi.org/10.1093/bioinformatics/btt756,Academia,,,workflow managment,bioinformaticx,yes,
CGAT-Core,,,maybe,Active (2023-04-07),,,https://cgat-core.readthedocs.io/en/latest/,https://github.com/cgat-developers/cgat-core,https://doi.org/10.1093/bioinformatics/btt756,Academia,,CGAT-core is a workflow management system that allows users to quickly and reproducibly build scalable data analysis pipelines. CGAT-core is a set of libraries and helper functions used to enable researchers to design and build computational workflows for the analysis of large-scale data-analysis.,workflow managment,data anylsis,yes,
Nextflow,,,yes,Active (2023-04-07),,Existing Workflow systems,https://nextflow.io/,https://github.com/nextflow-io/nextflow,https://www.nature.com/articles/nbt.3820%7B,"Academia,Funded, enterprise platform",,Nextflow enables scalable and reproducible scientific workflows using software containers. It allows the adaptation of pipelines written in the most common scripting languages,computational pipelines,Data-driven computational pipelines,yes,
Luigi,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://luigi.readthedocs.io/en/stable/,https://github.com/spotify/luigi,,Enterprise,,"Luigi is a Python package that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization, handling failures, command line integration, and much more.",data batch processing pipelines,data pipeline,yes,
SciLuigi,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0179-6,https://github.com/pharmbio/sciluigi,https://doi.org/10.1186/s13321-016-0179-6,Academia,,"A light-weight wrapper library around Spotify's Luigi workflow library to make writing scientific workflows more fluent, flexible and modular",scientific workflows,science,yes,
Law,Luigi Analysis Workflow,Luigi Analysis Workflow,no,Active (2023-04-07),,Existing Workflow systems,,https://github.com/riga/law,https://indico.cern.ch/event/1097499/contributions/4617472/attachments/2348703/4005689/2021-11-18_law.pdf,Academia,,"Luigi analysis workflow: Use law to build complex and large-scale task workflows. It is build on top of luigi and adds abstractions for run locations, storage locations and software environments. Law strictly disentangles these building blocks and ensures they remain interchangeable and resource-opportunistic.",data workflows,"dada analysis, CERN",yes,
GATK,GATK Queue,,no,Active (2023-04-07),,Existing Workflow systems,https://gatk.broadinstitute.org/hc/en-us,https://github.com/broadinstitute/gatk/,http://www.genome.org/cgi/doi/10.1101/gr.107524.110,Academia,https://www.broadinstitute.org/,"Developed in the Data Sciences Platform at the Broad Institute, the toolkit offers a wide variety of tools with a primary focus on variant discovery and genotyping. Its powerful processing engine and high-performance computing features make it capable of taking on projects of any size.",,genomic,yes,
