id,name,homepage_url,repo_url,category,subcategory
accord.net,Accord.NET,http://accord-framework.net/,https://github.com/accord-net/framework,Machine Learning,Framework
lightgbm,LightGBM,https://github.com/Microsoft/LightGBM,https://github.com/Microsoft/LightGBM,Machine Learning,Framework
mahout,Mahout,https://mahout.apache.org/,https://github.com/apache/mahout,Machine Learning,Framework
ml.net,ML.net,https://dotnet.microsoft.com/en-us/apps/machinelearning-ai/ml-dotnet,https://github.com/dotnet/machinelearning,Machine Learning,Framework
ray,Ray,https://bair.berkeley.edu/blog/2018/01/09/ray/,https://github.com/ray-project/ray,Machine Learning,Framework
zenml,ZenML,https://zenml.io/,https://github.com/zenml-io/zenml,Machine Learning,Framework
alink,Alink,https://github.com/alibaba/Alink,https://github.com/alibaba/Alink,Machine Learning,Platform
angel-ml,Angel-ML,https://angelml.ai/,https://github.com/Angel-ML/angel,Machine Learning,Platform
apachesystemml,Apache SystemML,https://systemds.apache.org,https://github.com/apache/systemds,Machine Learning,Platform
ax,AX,https://ax.dev/,https://github.com/facebook/Ax,Machine Learning,Platform
cortex,Cortex,https://www.cortex.dev/,https://github.com/cortexlabs/cortex,Machine Learning,Platform
forestflow,ForestFlow,https://forestflow.ai,https://github.com/ForestFlow/ForestFlow,Machine Learning,Platform
h2o.ai,H2o.ai,https://www.h2o.ai/,https://github.com/h2oai/h2o-3,Machine Learning,Platform
kubeflow,Kubeflow,https://www.kubeflow.org/,https://github.com/kubeflow/kubeflow,Machine Learning,Platform
metaflow,Metaflow,https://metaflow.org/,https://github.com/Netflix/metaflow,Machine Learning,Platform
mlflow,MLFlow,https://mlflow.org/,https://github.com/mlflow/mlflow,Machine Learning,Platform
predictionio,PredictionIO,https://predictionio.apache.org/,https://github.com/apache/predictionio,Machine Learning,Platform
seldon,Seldon,https://www.seldon.io/,https://github.com/SeldonIO/seldon-core,Machine Learning,Platform
vowpalwabbit,Vowpal Wabbit,https://github.com/VowpalWabbit/vowpal_wabbit/wiki,https://github.com/VowpalWabbit/vowpal_wabbit,Machine Learning,Platform
1chipml,1chipML,https://github.com/1chipML/,https://github.com/1chipML/1chipML,Machine Learning,Library
autogluon,AutoGluon,https://auto.gluon.ai/,https://github.com/awslabs/autogluon,Machine Learning,Library
catboost,CatBoost,https://catboost.ai,https://github.com/catboost/catboost,Machine Learning,Library
flashlight,Flashlight,https://github.com/flashlight/flashlight,https://github.com/flashlight/flashlight,Machine Learning,Library
mediapipe,MediaPipe,https://mediapipe.dev/,https://github.com/google/mediapipe,Machine Learning,Library
mlpack,mlpack,https://www.mlpack.org/,https://github.com/mlpack/mlpack,Machine Learning,Library
nilearn,Nilearn,https://nilearn.github.io/,https://github.com/nilearn/nilearn,Machine Learning,Library
opencv,OpenCV,https://opencv.org,https://github.com/opencv/opencv,Machine Learning,Library
opennn,OpenNN,https://www.opennn.net,https://github.com/Artelnics/OpenNN,Machine Learning,Library
pycaret,PyCaret,https://pycaret.org/,https://github.com/pycaret/pycaret,Machine Learning,Library
scikit-learn,SciKit-learn,https://scikit-learn.org/stable/,https://github.com/scikit-learn/scikit-learn,Machine Learning,Library
shogun,Shogun,https://www.shogun.ml/,https://github.com/shogun-toolbox/shogun,Machine Learning,Library
sonnet,Sonnet,https://sonnet.dev/,https://github.com/deepmind/Sonnet,Machine Learning,Library
transmogrifai,TransmogrifAI,https://transmogrif.ai/,https://github.com/salesforce/TransmogrifAI,Machine Learning,Library
xgboost,XGBoost,https://xgboost.ai/,https://github.com/dmlc/xgboost,Machine Learning,Library
xlearn,xLearn,https://xlearn-doc.readthedocs.io/en/latest/index.html,https://github.com/aksnzhy/xlearn,Machine Learning,Library
deeprec,DeepRec,https://deeprec.readthedocs.io/,https://github.com/alibaba/DeepRec,Deep Learning,Framework
apachesinga,Apache SINGA,https://singa.apache.org/en/index.html,https://github.com/apache/singa,Deep Learning,Framework
chainer,Chainer,https://chainer.org/,https://github.com/chainer/chainer,Deep Learning,Framework
cntk,CNTK,https://docs.microsoft.com/en-us/cognitive-toolkit/,https://github.com/Microsoft/CNTK,Deep Learning,Framework
dynamicneuralnetworktoolkit,Dynamic Neural Network Toolkit,https://dynet.readthedocs.io/en/latest/,https://github.com/clab/dynet,Deep Learning,Framework
euler,euler,https://github.com/alibaba/euler,https://github.com/alibaba/euler,Deep Learning,Framework
mindspore,MindSpore,https://www.mindspore.cn/en,https://github.com/mindspore-ai/mindspore,Deep Learning,Framework
mxnet,MXNet,https://mxnet.apache.org/versions/1.6,https://github.com/apache/incubator-mxnet,Deep Learning,Framework
ncnn,ncnn,https://github.com/Tencent/ncnn,https://github.com/Tencent/ncnn,Deep Learning,Framework
paddlepaddle,PaddlePaddle,https://www.paddlepaddle.org.cn,https://github.com/PaddlePaddle/Paddle,Deep Learning,Framework
pythia,Pythia,https://github.com/facebookresearch/mmf,https://github.com/facebookresearch/mmf,Deep Learning,Framework
pytorch,PyTorch,https://pytorch.org/,https://github.com/pytorch/pytorch,Deep Learning,Framework
tensorflow,Tensorflow,https://www.tensorflow.org/,https://github.com/tensorflow/tensorflow,Deep Learning,Framework
deepdetect,DeepDetect,https://www.deepdetect.com/,https://github.com/jolibrain/deepdetect,Deep Learning,Platform
determinedai,Determined AI,https://www.determined.ai,https://github.com/determined-ai/determined,Deep Learning,Platform
jina,Jina,https://jina.ai,https://github.com/jina-ai/jina,Deep Learning,Platform
onepanel,Onepanel,https://docs.onepanel.ai,https://github.com/onepanelio/onepanel,Deep Learning,Platform
polyaxon,Polyaxon,https://polyaxon.com,https://github.com/polyaxon/polyaxon,Deep Learning,Platform
tony,TonY,https://github.com/tony-framework/TonY,https://github.com/tony-framework/TonY,Deep Learning,Platform
x-deeplearning,X-DeepLearning,https://github.com/alibaba/x-deeplearning,https://github.com/alibaba/x-deeplearning,Deep Learning,Platform
bigdl,BigDL,https://bigdl-project.github.io/0.9.0/,https://github.com/intel-analytics/BigDL,Deep Learning,Library
catalyst,Catalyst,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,Deep Learning,Library
eclipsedeeplearning4j,Eclipse Deeplearning4j,https://deeplearning4j.konduit.ai/,https://github.com/eclipse/deeplearning4j,Deep Learning,Library
fast.ai,fast.ai,https://www.fast.ai/,https://github.com/fastai/fastai,Deep Learning,Library
keras,Keras,https://keras.io/,https://github.com/keras-team/keras,Deep Learning,Library
neuralnetworklibraries,Neural Network Libraries,https://nnabla.org,https://github.com/sony/nnabla,Deep Learning,Library
pytorchignite,PyTorch Ignite,https://pytorch.org/ignite/,https://github.com/pytorch/ignite,Deep Learning,Library
pytorchlightning,PyTorch Lightning,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Deep Learning,Library
pytorchvideo,PyTorchVideo,https://pytorchvideo.org/,https://github.com/facebookresearch/pytorchvideo,Deep Learning,Library
beyondml,BeyondML,https://github.com/Beyond-ML-Labs/mann,https://github.com/Beyond-ML-Labs/mann,Deep Learning,Tool
botorch,BoTorch,https://botorch.org/,https://github.com/pytorch/botorch,Deep Learning,Tool
neuralnetworkdistiller,Neural Network Distiller,https://nervanasystems.github.io/distiller/,https://github.com/IntelLabs/distiller,Deep Learning,Tool
plaidml,Plaid ML,https://www.intel.com/content/www/us/en/artificial-intelligence/plaidml.html,https://github.com/plaidml/plaidml,Deep Learning,Tool
pytorchbiggraph,PyTorch BigGraph,https://torchbiggraph.readthedocs.io/en/latest/,https://github.com/facebookresearch/PyTorch-BigGraph,Deep Learning,Tool
pytorchgeometric,PyTorch Geometric,https://pytorch-geometric.readthedocs.io/en/latest,https://github.com/pyg-team/pytorch_geometric,Deep Learning,Tool
tvm,TVM,https://tvm.ai/,https://github.com/apache/tvm,Deep Learning,Tool
datapractices,DataPractices,https://datapractices.org/,https://github.com/datapractices/data-practices-site,Data,Education
opends4all,OpenDS4All,https://github.com/odpi/OpenDS4All,https://github.com/odpi/OpenDS4All,Data,Education
openbytes,OpenBytes,https://www.openbytes.io/,https://github.com/Project-OpenBytes/OpenBytes,Data,Lineage
opendataology,OpenDataology,https://github.com/OpenDataology/,https://github.com/OpenDataology/OpenDataology,Data,Lineage
openlineage,OpenLineage,https://github.com/OpenLineage,https://github.com/OpenLineage/OpenLineage,Data,Lineage
couchdb,CouchDB,https://iceberg.apache.org/,https://github.com/apache/couchdb,Data,Relational DB
mysql,MySQL,https://www.mysql.com/,https://github.com/mysql/mysql-server,Data,Relational DB
postgres,Postgres,https://www.postgresql.org,https://github.com/postgres/postgres,Data,Relational DB
tikv,TiKV,https://tikv.org,https://github.com/tikv/tikv,Data,Relational DB
lakesoul,LakeSoul,https://www.dmetasoul.com/en/docs/lakesoul/,https://github.com/meta-soul/LakeSoul,Data,Store & Format
docarrary,Docarrary,https://docarray.jina.ai/,https://github.com/docarray/docarray,Data,Store & Format
alluxio,Alluxio,https://www.alluxio.io/,https://github.com/alluxio/alluxio,Data,Store & Format
apacheiceberg,Apache Iceberg,https://iceberg.apache.org/,https://github.com/apache/iceberg,Data,Store & Format
apacheorc,Apache ORC,https://orc.apache.org/,https://github.com/apache/orc,Data,Store & Format
aresdb,AresDB,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,Data,Store & Format
arrow,Arrow,https://arrow.apache.org/,https://github.com/apache/arrow,Data,Store & Format
avro,Avro,https://avro.apache.org/,https://github.com/apache/avro,Data,Store & Format
ceph,Ceph,https://www.ceph.io/en/,https://github.com/ceph/ceph,Data,Store & Format
deltalake,Delta Lake,https://delta.io/,https://github.com/delta-io/delta,Data,Store & Format
druid,Druid,https://druid.apache.org/,https://github.com/apache/druid,Data,Store & Format
hudi,Hudi,https://eng.uber.com/hoodie/,https://github.com/apache/hudi,Data,Store & Format
hugegraph,HugeGraph,https://hugegraph.apache.org/,https://github.com/apache/incubator-hugegraph,Data,Store & Format
influxdb,InfluxDB,https://www.influxdata.com/,https://github.com/influxdata/influxdb,Data,Store & Format
janusgraph,JanusGraph,https://janusgraph.org/,https://github.com/JanusGraph/janusgraph,Data,Store & Format
milvus,Milvus,https://milvus.io,https://github.com/milvus-io/milvus,Data,Store & Format
pandas,pandas,https://pandas.pydata.org/,https://github.com/pandas-dev/pandas,Data,Store & Format
parquet,Parquet,https://parquet.apache.org/,https://github.com/apache/parquet-format,Data,Store & Format
pilosa,Pilosa,https://www.pilosa.com/,https://github.com/pilosa/pilosa,Data,Store & Format
vearch,VEARCH,https://vearch.github.io/,https://github.com/vearch/vearch,Data,Store & Format
vespa,Vespa,https://vespa.ai/,https://github.com/vespa-engine/vespa,Data,Store & Format
vineyard,Vineyard,https://v6d.io/,https://github.com/v6d-io/v6d,Data,Store & Format
dotmesh,dotmesh,https://dotmesh.com/,https://github.com/dotmesh-io/dotmesh,Data,Versioning
dvc,DVC,https://dvc.org/,https://github.com/iterative/dvc,Data,Versioning
quiltdata,Quilt Data,https://docs.quiltdata.com/,https://github.com/quiltdata/quilt,Data,Versioning
