id,name,homepage_url,repo_url,category,subcategory,tool_subcategory
apachebeam,Apache Beam,https://beam.apache.org/,,Stream Processing,,
sparkstreaming,Spark Streaming,https://spark.apache.org/streaming/,,Stream Processing,,
apacheflink,Apache Flink,https://flink.apache.org/,,Stream Processing,,
apachestorm,Apache Storm,https://storm.apache.org,,Stream Processing,,
apachesamza,Apache Samza,https://samza.apache.org,,Stream Processing,,
apachenifi,Apache NiFi,https://nifi.apache.org/,,Stream Processing,,
apachehudi,Apache Hudi,https://hudi.apache.org/,,Stream Processing,,
voltdb,VoltDB,https://voltdb.com/,,Stream Processing,,
pipelinedb,PipelineDB,,https://github.com/pipelinedb/pipelinedb,Stream Processing,,
springclouddataflow,Spring Cloud Dataflow,https://cloud.spring.io/spring-cloud-dataflow/,,Stream Processing,,
bonobo,Bonobo,https://www.bonobo-project.org/,,Stream Processing,,
robinhood'sfaust,Robinhood's Faust,,https://github.com/faust-streaming/faust,Stream Processing,,
hstreamdb,HStreamDB,,https://github.com/hstreamdb/hstream,Stream Processing,,
kuiper,Kuiper,,https://github.com/emqx/kuiper,Stream Processing,,
hadoopmapreduce,Hadoop MapReduce,https://hadoop.apache.org/docs/current/hadoop-mapreduce-client/hadoop-mapreduce-client-core/MapReduceTutorial.html,,Batch Processing,,
awsemr,AWS EMR,https://aws.amazon.com/emr/,,Batch Processing,,
tez,Tez,https://tez.apache.org/,,Batch Processing,,
bistro,Bistro,,https://github.com/asavinov/bistro,Batch Processing,,
sparkpackages,Spark Packages,https://spark-packages.org,,Batch Processing,Spark,
deepspark,Deep Spark,,https://github.com/Stratio/deep-spark,Batch Processing,Spark,
sparkrddapiexamples,Spark RDD API Examples,http://homepage.cs.latrobe.edu.au/zhe/ZhenHeSparkRDDAPIExamples.html,,Batch Processing,Spark,
livy,Livy,https://livy.incubator.apache.org,,Batch Processing,Spark,
spark,Spark,https://spark.apache.org/,,Batch Processing,Spark,
h2o,H2O,https://www.h2o.ai/,,Batch Processing,Batch ML,
mahout,Mahout,https://mahout.apache.org/,,Batch Processing,Batch ML,
sparkmllib,Spark MLlib,https://spark.apache.org/docs/latest/ml-guide.html,,Batch Processing,Batch ML,
graphlabcreate,GraphLab Create,https://turi.com/products/create/docs/,,Batch Processing,Batch Graph,
giraph,Giraph,https://giraph.apache.org/,,Batch Processing,Batch Graph,
sparkgraphx,Spark GraphX,https://spark.apache.org/graphx/,,Batch Processing,Batch Graph,
presto,Presto,https://prestodb.github.io/docs/current/index.html,,Batch Processing,Batch SQL,
hivemall,Hivemall,,https://github.com/apache/incubator-hivemall,Batch Processing,Batch SQL,Hive
pyhive,PyHive,,https://github.com/dropbox/PyHive,Batch Processing,Batch SQL,Hive
hive,Hive,https://hive.apache.org,,Batch Processing,Batch SQL,Hive
drill,Drill,https://drill.apache.org/,,Batch Processing,Batch SQL,
cascading,Cascading,https://www.cascading.org/,,Workflow,,
airflow,Airflow,,https://github.com/apache/airflow,Workflow,,
azkaban,Azkaban,https://azkaban.github.io/,,Workflow,,
oozie,Oozie,https://oozie.apache.org/,,Workflow,,
pinball,Pinball,,https://github.com/pinterest/pinball,Workflow,,
dagster,Dagster,,https://github.com/dagster-io/dagster,Workflow,,
dataform,Dataform,https://dataform.co/,,Workflow,,
census,Census,https://getcensus.com/,,Workflow,,
dbt,dbt,https://getdbt.com/,,Workflow,,
cronq,CronQ,,https://github.com/seatgeek/cronq,Workflow,Luigi,
luigi,Luigi,,https://github.com/spotify/luigi,Workflow,Luigi,
