id,name,homepage_url,repo_url,category,subcategory
arvados,Arvados,https://arvados.org/,https://github.com/arvados/arvados,"Community, Academia","genomic, biomedical"
galaxy,Galaxy,https://galaxyproject.org/,https://github.com/galaxyproject/galaxy,"Community, Academia",bioinformatic workflow
apacheoozie,Apache Oozie,https://oozie.apache.org/,https://github.com/apache/oozie,Non-Profit,
wings,Wings,https://www.wings-workflows.org,https://github.com/knowledgecaptureanddiscovery/wings,Academia,science
knime,Knime,https://www.knime.com/,https://github.com/knime/knime-core,Academia,data anaylsiis
"make,rake,drake,ant,scons&manyothers","make, rake, drake, ant, scons & many others",,https://github.com/Factual/drake,,
snakemake,Snakemake,https://snakemake.github.io/,https://github.com/snakemake/snakemake,"Non-Profit,Academia",data anaylsis
bpipe,Bpipe,https://docs.bpipe.org/,https://github.com/ssadedin/bpipe/,Academia,bionfirmaticx
cgat-ruffus,CGAT-Ruffus,https://cgat-core.readthedocs.io/en/latest/,https://github.com/cgat-developers/ruffus,Academia,bioinformaticx
cgat-core,CGAT-Core,https://cgat-core.readthedocs.io/en/latest/,https://github.com/cgat-developers/cgat-core,Academia,data anylsis
nextflow,Nextflow,https://nextflow.io/,https://github.com/nextflow-io/nextflow,"Academia,Funded, enterprise platform",Data-driven computational pipelines
luigi,Luigi,https://luigi.readthedocs.io/en/stable/,https://github.com/spotify/luigi,Enterprise,data pipeline
sciluigi,SciLuigi,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-016-0179-6,https://github.com/pharmbio/sciluigi,Academia,science
law,Law,,https://github.com/riga/law,Academia,"dada analysis, CERN"
gatk,GATK,https://gatk.broadinstitute.org/hc/en-us,https://github.com/broadinstitute/gatk/,Academia,genomic
yabi,YABI,https://yabi.readthedocs.io/en/latest/,https://github.com/muccg/yabi/,Academia,genomic
seqware,Seqware,https://seqware.github.io/docs/6-pipeline/,https://github.com/SeqWare/seqware,Academia,genomic
pegasus,Pegasus,https://pegasus.isi.edu/,https://github.com/pegasus-isi/pegasus,Academia,science
ketrew,Ketrew,http://www.hammerlab.org/docs/ketrew/master/index.html,https://github.com/hammerlab/ketrew,Academia,
apacheairflow,Apache Airflow,https://airflow.apache.org/,https://github.com/apache/airflow,commercial,data processing
couler,Couler,https://couler-proj.github.io/couler/index.html,https://github.com/couler-proj/couler,open-source-project,
cosmos,Cosmos,https://mizzou-cbmi.github.io/COSMOS2/,https://github.com/Mizzou-CBMI/COSMOS2,Academia,
pinball,Pinball,,https://github.com/pinterest/pinball,Enterprise,
bcbio,bcbio,bcbio-nextgen.readthedocs.io,https://github.com/bcbio/bcbio-nextgen,Academia,genomic
